Analysis of Layer Similarities for ministral_8b 
Number of Layers to Skip : 16 
block_start,block_end,average_distance
1,17,0.3926688952323718
2,18,0.3924967447916667
3,19,0.3920491536458333
4,20,0.3848736102764423
5,21,0.3802537184495192
6,22,0.3752089280348558
7,23,0.37442799103565705
8,24,0.37127998547676283
9,25,0.3726603190104167
10,26,0.364986321864984
11,27,0.362850091396234
12,28,0.3564468775040064
13,29,0.35431534204727566
14,30,0.35352188501602566
15,31,0.34642693935296476
16,32,0.33545626126802885
17,33,0.33910193810096156
18,34,0.34200345552884615
19,35,0.36720941005608976
20,36,0.435512444911859
Layer 16 to 32 is the best block to prune.
