Analysis of Layer Similarities for ministral_8b 
Number of Layers to Skip : 12 
block_start,block_end,average_distance
1,13,0.3930804912860577
2,14,0.38080694736578524
3,15,0.37808462289663464
4,16,0.3692986904046474
5,17,0.3631756122295673
6,18,0.3635668632311699
7,19,0.3604572002704327
8,20,0.3588444636418269
9,21,0.3567645733173077
10,22,0.35069940029046476
11,23,0.34993254832732373
12,24,0.3453509990985577
13,25,0.3430903508112981
14,26,0.3413993639823718
15,27,0.3327386318108974
16,28,0.3159586588541667
17,29,0.30481817783453524
18,30,0.29477711212940705
19,31,0.2860522147936699
20,32,0.2868910569411058
21,33,0.28997489733573717
22,34,0.3013047438401442
23,35,0.3333239433092949
24,36,0.41423308543669873
Layer 19 to 31 is the best block to prune.
